afcd_code,name,kcal_per_100g,protein_g_per_100g,fat_g_per_100g,carbs_g_per_100g,fibre_g_per_100g
F009535,"Wheat bran, unprocessed, uncooked",267.4,14.8,4.1,22.6,41.8
F009537,"Wheat, whole, uncooked",325.5,11.2,2.4,58.3,11.4
F009536,Wheat germ,307.1,20.6,6.1,32.7,20.1
F007682,"Rice, white, uncooked",339.9,7.0,0.9,74.0,0.8
F007661,"Rice, white, boiled or rice cooker, no added salt",157.5,3.1,0.2,34.7,0.8
F007678,"Rice, white, purchased as 'instant', microwaved",153.7,3.4,0.6,32.5,1.0
F007648,"Rice, brown, uncooked",347.0,7.6,3.1,69.1,3.5
F007641,"Rice, brown, boiled, no added salt",165.6,4.1,1.1,33.5,1.7
F007684,"Rice, wild, uncooked",359.7,14.7,1.1,68.7,6.2
F007683,"Rice, wild, boiled, no added salt",101.8,4.0,0.3,19.5,1.8
F007639,"Rice paper wrapper, soaked in water",154.4,3.3,0.9,32.2,1.0
F007666,"Rice, white, fried with bacon or ham, egg, prawns & vegetables",197.7,5.5,5.2,31.0,1.2
F003983,"Flour, arrowroot",329.3,0.4,0.2,78.6,3.4
F003988,"Flour, cornflour, from maize starch",348.5,0.4,0.6,84.1,0.0
F003989,"Flour, cornflour, from maize & wheat starch",350.4,0.6,0.4,84.4,0.5
F003986,"Flour, chickpea (besan)",328.2,19.7,5.5,38.5,20.8
F003990,"Flour, gluten free, plain",353.7,3.4,1.1,80.5,1.7
F003998,"Flour, rice",343.5,7.3,2.0,71.6,2.2
F004000,"Flour, rye",322.2,11.4,2.3,54.9,17.3
F004002,"Flour, soya (soy)",368.8,49.8,8.9,14.6,16.0
F004004,"Flour, spelt",351.3,18.7,2.4,59.1,7.4
F004006,"Flour, wheat, white, high protein or bread making flour",349.9,11.7,1.7,69.6,2.5
F004007,"Flour, wheat, white, plain",353.5,10.0,1.3,73.2,2.2
F004008,"Flour, wheat, white, plain, added vitamins B1, B2, B3, B6, E & folate & Fe, Mg & Zn (Jackaroo)",338.7,11.1,1.5,67.3,3.8
F004009,"Flour, wheat, white, self-raising",353.5,10.0,1.3,73.2,2.2
F004013,"Flour, wheat, white, self-raising, added vitamins B1, B2, B3, B6, E & folate & Fe, Mg & Zn (Jackaroo)",328.2,10.7,1.4,65.2,3.7
F004014,"Flour, wheat, wholemeal, plain",327.7,11.6,1.6,61.6,8.8
F004015,"Flour, wheat, wholemeal, self-raising",351.6,11.4,2.1,65.3,11.3
F004220,"Gluten, from wheat (vital wheat gluten)",360.2,75.2,0.0,13.2,0.6
F008831,"Starch, potato",318.4,0.0,0.5,74.5,5.9
F004358,"Hamburger, white roll, beef patty, with cheese, onion, pickles & sauce, fast food chain",270.8,14.7,12.6,23.2,1.8
F004362,"Hamburger, white roll, beef patty, with salad, independent takeaway outlet",208.2,12.1,9.2,18.0,2.6
F004389,"Hot dog, bread roll, frankfurt & sauce filling",226.8,10.6,7.6,27.4,2.5
F006725,"Pizza, cheese & tomato, commercial",285.4,16.2,11.0,28.7,2.8
F006761,"Pizza, ham & pineapple, purchased frozen, baked",229.7,11.5,6.0,28.2,3.1
F006762,"Pizza, ham & pineapple, takeaway style",224.4,12.8,8.3,23.1,3.1
F006800,"Pizza, supreme, takeaway style",228.0,13.0,9.8,20.5,3.0
F006795,"Pizza, supreme, fast food chain",249.5,12.9,9.0,27.6,2.5
F006797,"Pizza, supreme, purchased frozen, baked",272.9,14.0,11.6,26.3,3.2
F006805,"Pizza, vegetable, fast food chain",206.3,9.3,6.0,27.2,2.8
F006038,"Noodle, rice stick, boiled, drained",119.0,2.5,0.0,26.1,0.7
F006043,"Noodle, soba, dry",359.2,11.9,1.3,71.2,5.3
F006042,"Noodle, soba, boiled, drained",108.7,3.6,0.4,21.5,1.6
F006048,"Noodle, wheat, fresh, soaked, drained",145.3,6.3,1.0,26.5,1.7
F006055,"Noodle, wheat, instant, flavoured, dry, uncooked",440.2,11.0,19.1,54.0,3.7
F006066,"Noodle, wheat, instant, unflavoured, boiled, drained",143.6,3.8,6.2,17.6,1.2
F006067,"Noodle, wheat, instant, unflavoured, boiled, undrained",54.0,1.4,2.3,6.6,0.4
F006068,"Noodle, wheat, instant, unflavoured, dry, uncooked",440.2,11.0,19.1,54.0,3.7
F006053,"Noodle, wheat, instant, flavoured, boiled, drained",143.6,3.8,6.2,17.6,1.2
F006054,"Noodle, wheat, instant, flavoured, boiled, undrained",54.0,1.4,2.3,6.6,0.4
F006044,"Noodle, wheat with egg, plain, boiled, no added fat",165.9,7.5,1.4,29.1,2.6
F006429,"Pasta, gluten free, boiled from dry, no added salt",152.7,3.1,0.7,32.4,1.2
F009835,"Pasta, legume based, boiled, no added salt",150.3,14.4,1.7,16.1,6.2
F006458,"Pasta, white wheat flour, dry",348.5,12.7,1.4,68.5,3.2
F006456,"Pasta, white wheat flour, boiled from dry, no added salt",136.7,5.3,0.4,26.2,2.2
F006460,"Pasta, white wheat flour, fresh, uncooked",268.2,10.5,2.1,49.4,3.3
F006459,"Pasta, white wheat flour, fresh, boiled, no added salt",150.6,5.9,1.3,27.1,2.7
F006445,"Pasta, white wheat flour & egg, dry",363.8,10.6,1.6,74.4,2.2
F006444,"Pasta, white wheat flour & egg, boiled from dry, no added salt",165.9,7.5,1.4,29.1,2.6
F006453,"Pasta, white wheat flour & spinach, dry",364.5,11.9,1.3,73.1,4.4
F006451,"Pasta, white wheat flour & spinach, boiled from dry, no added salt",132.4,3.8,0.4,27.3,1.4
F006465,"Pasta, wholemeal wheat flour, dry",335.6,12.5,2.2,60.6,9.9
F006464,"Pasta, wholemeal wheat flour, boiled from dry, no added salt",140.1,5.4,0.8,24.6,5.7
F006409,"Pasta in cream based sauce, dry mix",369.5,13.1,3.1,69.7,3.6
F009830,"Pasta in cream based sauce, prepared from dry mix",143.2,5.6,2.6,23.6,1.1
F005145,"Lasagne, beef, commercial, purchased frozen, baked",136.7,6.6,6.6,11.8,2.1
F005146,"Lasagne, beef, homemade",179.7,9.9,8.0,16.2,1.4
F005259,"Macaroni & cheese, homemade, cooked unfilled pasta, homemade cheese sauce",166.8,6.4,5.5,21.5,1.7
F006393,"Pasta dish, homemade, cooked unfilled pasta, homemade beef bolognese sauce & added vegetables",120.5,7.3,2.8,15.2,1.7
F008737,"Spaghetti in tomato & cheese sauce, canned",54.3,2.5,0.0,10.7,0.8
F008738,"Spaghetti in tomato & cheese sauce, canned, reduced salt",54.3,2.5,0.0,10.7,0.8
F003305,"Croissant, plain",359.7,10.0,19.1,35.6,2.7
F006497,"Pastry, filo, commercial, raw",306.6,10.2,3.8,55.8,2.5
F006496,"Pastry, filo, commercial, baked",389.8,12.2,3.1,75.1,4.3
F006505,"Pastry, puff, with butter, commercial, raw",330.5,5.5,19.0,32.9,3.4
F006504,"Pastry, puff, with butter, commercial, baked",429.3,7.1,24.7,42.7,4.4
F006503,"Pastry, puff, vegetable oil, commercial, raw",315.7,5.5,16.4,35.0,3.4
F006502,"Pastry, puff, vegetable oil, commercial, baked",404.9,7.0,21.0,44.9,4.4
F006507,"Pastry, shortcrust style, commercial, raw",395.1,6.4,21.4,41.3,6.4
F006506,"Pastry, shortcrust style, commercial, baked",481.6,7.8,26.1,50.4,7.8
F006493,"Pastry, filled with spinach & cheese, purchased frozen, baked",290.2,9.4,16.4,24.7,2.5
F006656,"Pie, savoury, chicken & vegetable, commercial",236.1,8.2,11.0,25.0,2.1
F006665,"Pie, savoury, meat, commercial, ready to eat",227.5,8.9,11.4,21.2,2.4
F006667,"Pie, savoury, meat, purchased frozen, baked",217.3,8.6,11.3,19.3,2.0
F008098,"Sausage roll, commercial, ready to eat",284.4,9.7,14.6,27.2,3.0
F008101,"Sausage roll, purchased frozen, baked",267.2,9.7,12.7,27.2,3.0
F008794,"Spring roll, meat & vegetable filling, commercial, deep fried",250.2,7.5,11.7,27.5,2.8
F010173,"Pastry, danish, sweet, all types",310.7,7.5,15.0,35.6,3.7
F006679,"Pie, sweet, apple, commercial",253.1,3.0,12.9,31.4,1.3
F009102,"Tart, custard, commercial",242.4,6.3,10.7,30.2,1.0
F003607,"Dressing, French or Italian, regular fat, commercial",226.6,0.1,19.6,11.7,0.0
F003612,"Dressing, thousand island, regular fat, commercial",357.1,1.0,31.8,16.6,1.4
F005441,"Mayonnaise, traditional (>65% fat), commercial",633.6,0.8,67.2,8.7,0.5
F005437,"Mayonnaise, low fat, commercial",122.8,0.5,1.8,27.1,0.0
F004263,"Gravy powder, dry mix",313.3,8.9,6.2,54.7,0.1
F004265,"Gravy, prepared from dry powder with water",26.1,0.7,0.5,4.5,0.0
F005973,"Mustard, cream style",83.2,5.8,3.1,6.2,4.1
F006471,"Paste, Indian style curry, commercial",206.5,2.9,14.1,14.2,5.4
F006469,"Paste, green curry, commercial",110.2,2.4,7.9,6.3,3.0
F005702,"Paste, soybean",183.1,12.9,5.1,19.7,4.3
F006476,"Paste, shrimp",94.2,21.0,1.0,0.0,0.0
F007987,"Sauce, barbecue, commercial",173.3,0.8,0.1,42.2,0.9
F007992,"Sauce, butter chicken, commercial",98.5,1.3,7.6,5.8,1.9
F008000,"Sauce, cranberry, commercial",155.1,0.0,0.0,40.0,1.1
F008004,"Sauce, fish, commercial",50.9,6.8,0.3,4.4,1.2
F008008,"Sauce, hoi sin (hoisin), commercial",220.4,1.6,5.4,37.2,10.4
F008026,"Sauce, oyster, commercial",112.6,2.8,1.0,21.0,0.3
F008028,"Sauce, pasta or simmer, commercial, low fat",57.4,0.8,2.9,6.6,1.3
F008029,"Sauce, pasta, basil pesto, commercial",381.9,5.3,37.1,7.4,1.5
F008032,"Sauce, pasta, bolognese, homemade using beef mince & homemade tomato based sauce",92.7,8.8,4.5,3.8,1.4
F008031,"Sauce, pasta, bolognese, homemade using beef mince & commercial tomato based sauce",112.6,10.0,6.2,3.9,1.1
F008036,"Sauce, pasta, cheese or cream-based, commercial",86.8,1.4,6.8,5.3,0.1
F008050,"Sauce, pasta, tomato-based, commercial, heated",54.0,1.6,1.5,7.5,1.8
F008054,"Sauce, plum, commercial",229.0,0.1,0.8,56.5,0.6
F008055,"Sauce, rogan josh, commercial",70.5,1.5,4.1,6.2,1.9
F008056,"Sauce, salsa, tomato-based, commercial",34.9,1.3,0.0,6.3,1.6
F008062,"Sauce, simmer for chicken, commercial",91.5,0.8,7.5,4.8,1.7
F008063,"Sauce, simmer, curry flavoured, commercial",118.1,2.1,6.9,10.7,2.3
F008065,"Sauce, soy, commercial",50.0,6.8,0.0,3.2,0.0
F008067,"Sauce, soy, commercial, reduced salt",50.0,6.8,0.0,3.2,0.0
F008077,"Sauce, tabasco, commercial",13.6,1.3,0.8,0.1,0.6
F008083,"Sauce, tomato, commercial",104.4,1.3,0.0,24.1,1.3
F008085,"Sauce, tomato, commercial, reduced salt",104.4,1.3,0.0,24.1,1.3
F010105,"Sauce, tomato, reduced sugar & salt, commercial",55.2,1.3,0.0,11.3,1.3
F008090,"Sauce, white, savoury, homemade",179.3,3.9,13.5,10.8,0.2
F008094,"Sauce, Worcestershire, commercial",74.3,1.3,0.2,17.6,0.0
F009498,Vinegar (except balsamic vinegar),15.5,0.0,0.0,0.0,0.0
F009499,"Vinegar, balsamic",78.9,0.5,0.0,15.0,2.1
F006577,"Peanut butter, smooth & crunchy, added sugar & salt",596.3,22.2,49.6,14.3,5.8
F006579,"Peanut butter, smooth & crunchy, no added sugar or salt",628.1,24.3,54.3,9.4,6.5
F008783,"Spread, yeast, marmite",149.1,13.3,0.9,16.6,11.8
F008785,"Spread, yeast, vegemite",163.2,24.4,0.9,10.9,6.5
F002405,"Cheese, blue vein",370.9,19.1,32.9,0.3,0.0
F002406,"Cheese, bocconcini",246.7,16.6,20.2,0.0,0.0
F002407,"Cheese, brie",362.6,18.6,31.8,0.0,0.0
F002408,"Cheese, camembert",328.4,18.6,27.9,0.0,0.0
F002414,"Cheese, cheddar, natural, regular fat",403.0,24.6,33.4,0.3,0.0
F002413,"Cheese, cheddar, natural, reduced fat (~25%)",324.1,27.9,23.4,0.0,0.0
F002428,"Cheese, cheddar, processed, regular fat",299.7,18.2,23.9,1.9,0.0
F002425,"Cheese, cheddar, processed, reduced fat (~15%), added vitamin D",251.9,22.4,15.4,4.9,0.0
F002435,"Cheese, cottage",132.9,17.0,5.7,1.8,0.0
F002444,"Cheese, cream, plain",339.4,8.5,34.2,0.2,0.0
F002448,"Cheese, edam",358.5,27.4,27.2,0.0,0.0
F002452,"Cheese, fetta (feta)",256.5,16.6,20.6,0.4,0.0
F002462,"Cheese, goat, firm",359.0,18.6,31.3,0.8,0.0
F002463,"Cheese, goat, soft",285.4,21.2,21.7,0.9,0.0
F002466,"Cheese, haloumi (halloumi)",305.2,20.5,24.6,1.0,0.0
F010020,"Cheese, haloumi (halloumi), reduced salt",306.2,19.0,25.3,1.3,0.0
F002472,"Cheese, mozzarella",289.7,22.2,22.1,0.0,0.0
F002478,"Cheese, parmesan, dried, finely grated",465.8,40.6,33.3,0.0,0.0
F002479,"Cheese, parmesan, fresh, regular fat",374.0,32.0,27.0,0.0,0.0
F002488,"Cheese, ricotta",152.0,10.4,11.0,2.7,0.0
F010574,"Cheese, hard, dairy alternative",294.0,0.9,23.3,19.1,2.6
F003270,"Cream, thickened, regular fat (~35%)",339.9,2.0,36.5,2.4,0.0
F003269,"Cream, sour, regular fat",338.0,1.9,36.3,2.0,0.0
F003267,"Cream, sour, light (~18% fat)",207.5,3.6,19.7,4.5,0.0
F003255,"Cream, imitation (non-dairy)",264.8,1.0,21.8,17.7,0.0
F004508,"Ice cream, vanilla flavour, regular fat",192.6,3.7,11.1,20.5,0.0
F004507,"Ice cream, vanilla flavour, premium or rich (~15% fat)",218.9,3.2,13.5,22.5,0.0
F004419,"Ice confection, stick, milk-based, various flavours",134.6,2.9,5.3,19.8,0.2
F004421,"Ice confection, stick, water-based, various flavours",66.9,0.2,0.0,17.1,0.0
F004415,"Ice confection, stick or tub, fruit juice or fruit flavoured",73.1,0.2,0.1,18.7,0.0
F005634,"Milk, cow, fluid, regular fat (~3.5%)",64.5,3.3,3.4,5.4,0.0
F005602,"Milk, cow, fluid, prepared from dry powder, regular fat, standard dilution",69.8,3.6,3.6,6.1,0.0
F005635,"Milk, cow, fluid, regular fat (~3.5%), added omega 3 polyunsaturates",60.5,3.1,3.2,5.1,0.0
F005614,"Milk, cow, fluid, reduced fat (~1%)",43.3,3.3,1.2,4.8,0.0
F005621,"Milk, cow, fluid, reduced fat (~1.5%), added omega 3 polyunsaturates",50.9,4.5,1.4,5.1,0.0
F005637,"Milk, cow, fluid, skim (~0.15% fat)",34.9,3.6,0.0,5.3,0.0
F005605,"Milk, cow, fluid, prepared from dry powder, skim, standard dilution",39.0,3.7,0.1,6.0,0.0
F005599,"Milk, cow, fluid, lactose free, regular fat (~3.5%)",58.8,3.1,3.1,4.7,0.0
F005598,"Milk, cow, fluid, lactose free, reduced fat (~1%)",42.8,3.3,1.1,4.9,0.1
F005581,"Milk, cow, canned, evaporated, regular",140.5,7.5,8.2,10.0,0.0
F005580,"Milk, cow, canned, evaporated, reduced fat (~2%)",90.8,7.8,2.1,10.6,0.0
F005582,"Milk, cow, canned, sweetened, condensed, regular",325.5,8.3,9.2,55.0,0.0
F005587,"Milk, cow, fluid, flavoured, chocolate, reduced fat",63.1,3.3,1.9,8.6,0.0
F005648,"Milk, cow, powder, regular fat",493.3,25.3,25.6,43.0,0.0
F005650,"Milk, cow, powder, regular fat, unfortified",489.5,25.3,25.2,43.0,0.0
F005649,"Milk, cow, powder, regular fat, added vitamins A & D",508.6,25.3,27.3,43.0,0.0
F005652,"Milk, cow, powder, skim",363.0,34.9,0.8,56.0,0.0
F005647,"Milk, human/breast, mature, fluid",68.4,1.3,4.2,6.8,0.0
F003442,"Custard, vanilla, regular fat",98.2,3.2,3.0,14.6,1.2
F003426,"Custard powder, vanilla, dry mix",338.0,0.5,0.4,81.5,0.5
F003441,"Custard, vanilla, prepared from dry mix",102.3,3.6,3.7,13.9,0.0
F009694,"Yoghurt, natural, regular fat (~3%)",73.1,5.1,3.2,5.0,0.1
F009919,"Yoghurt, natural, sheep's milk",93.9,5.9,6.5,2.2,0.0
F009811,"Yoghurt, flavoured, high fat (~5%)",115.4,4.4,4.9,12.9,0.6
F009608,"Yoghurt, apricot pieces or flavoured, regular fat (~3%)",92.3,4.2,3.2,11.1,0.1
F009741,"Yoghurt, strawberry pieces or flavoured, regular fat (~3%)",96.8,4.9,3.1,11.6,0.1
F009810,"Yoghurt, flavoured, low fat (~2%)",81.5,4.6,1.3,12.2,0.3
F009749,"Yoghurt, vanilla flavoured (~2%)",97.5,5.0,1.9,14.5,0.2
F009809,"Yoghurt, flavoured, low fat (0.2%), intense sweetened, increased protein",54.3,9.6,0.3,2.3,0.4
F009752,"Yoghurt, vanilla flavoured, low fat (<0.5%)",88.0,5.9,0.5,13.9,0.2
F009797,"Yoghurt, almond based, flavoured",91.8,2.6,4.5,9.2,1.8
F009798,"Yoghurt, coconut based, flavoured",124.0,1.1,9.0,9.2,1.3
F009738,"Yoghurt, soy based, berry flavoured, regular fat (~3%)",99.4,3.6,3.7,12.6,0.2
F009739,"Yoghurt, soy based, vanilla flavoured, reduced fat (~1%)",73.9,3.6,0.8,12.6,0.2
F003488,"Dairy or yoghurt dessert, chocolate, regular fat",113.0,2.6,4.5,14.6,1.4
F009825,"Almond beverage, added sugar, unfortified",27.5,0.5,1.4,3.0,0.6
F009824,"Almond beverage, no added sugar, unfortified",15.5,0.5,1.4,0.0,0.5
F009827,"Almond beverage, added sugar & Ca",27.5,0.5,1.4,3.0,0.6
F009826,"Almond beverage, no added sugar, added Ca",15.5,0.5,1.4,0.0,0.5
F009828,"Almond beverage, added sugar & vitamins B1, B2, B12, C & Ca",27.5,0.5,1.4,3.0,0.6
F009812,"Coconut beverage, unfortified",25.3,0.2,1.7,2.4,0.0
F009813,"Coconut beverage, added Ca",25.3,0.2,1.7,2.4,0.0
F006132,"Oat beverage, fluid, unfortified",53.5,1.3,0.8,10.2,0.3
F006131,"Oat beverage, fluid, added Ca",53.5,1.3,0.8,10.2,0.3
F011006,"Oat beverage, fluid, added calcium & vitamins",41.1,0.5,1.6,5.9,0.5
F009980,"Rice beverage, unfortified",47.1,0.6,1.0,9.0,0.0
F007632,"Rice beverage, fluid, added calcium",60.9,0.3,1.0,12.7,0.0
F008721,"Soy beverage, regular fat (~3%), unfortified",58.8,3.7,2.7,4.6,0.6
F008719,"Soy beverage, regular fat (~3%), added Ca",58.8,3.7,2.7,4.6,0.6
F008720,"Soy beverage, regular fat (~3%), added Ca & vitamins A, B1, B2 & B12",61.4,4.4,2.7,4.6,0.6
F008704,"Soy beverage, reduced fat (~1%), added Ca & vitamins A, B1, B2 & B12",44.7,3.0,0.9,5.7,0.6
F009147,Textured vegetable protein/soy granules,320.0,51.5,1.2,15.2,17.5
F009176,"Tofu (soy bean curd), firm, as purchased",129.8,12.8,8.3,0.0,1.0
F009799,"Meat alternative, mycoprotein/fungus base, commercial, as purchased",114.2,13.8,4.1,2.5,5.6
F010550,"Meat alternative, mycoprotein/fungus base, schnitzels/fish alternative/patty/sausages, as purchased",200.3,12.3,8.7,16.0,4.2
F009821,"Meat alternative, mycoprotein/fungus base, cooked",156.5,18.8,5.6,3.4,7.7
F009822,"Meat alternative, protein (soy/wheat/pea) base, as purchased",225.6,19.4,13.4,3.2,4.4
F009823,"Meat alternative, protein (soy/wheat/pea) base, cooked",278.4,23.9,16.5,4.0,5.4
F010472,"Meat alternative, protein (soy/wheat/pea) base, added vitamins & minerals, as purchased",225.6,19.4,13.4,3.2,4.4
F009814,"Meat alternative, legume and/or vegetable base, as purchased",180.4,7.5,5.9,21.3,5.5
F009816,"Meat alternative, legume and/or vegetable base, cooked",222.8,9.2,7.3,26.3,6.8
F008155,"Sausage, vegetarian style, unfortified, raw",192.9,19.0,9.4,7.4,1.5
F008151,"Sausage, vegetarian style, added Fe, Zn and vitamin B12, raw",192.9,19.0,9.4,7.4,1.5
F008153,"Sausage, vegetarian style, fried, no added fat",202.9,20.0,9.9,7.8,1.6
F008509,"Soup, broth style, with meat, instant dry mix",322.7,4.8,3.3,65.7,4.3
F008508,"Soup, broth style, with meat & noodles, instant dry mix",363.3,10.8,6.3,64.1,2.2
F008571,"Soup, cream variety, instant dry mix",389.1,5.3,13.2,59.1,6.5
F008670,"Soup, vegetable, instant dry mix",287.0,6.7,2.1,58.3,3.3
F008661,"Soup, vegetable & noodle, instant dry mix",361.9,8.7,6.3,65.5,3.9
F008513,"Soup, chicken & noodle, cup of soup, prepared from instant dry mix with water",18.9,0.7,0.2,3.4,0.3
F001973,"Butter, plain, salted",733.5,1.1,82.2,0.6,0.0
F001972,"Butter, plain, reduced salt",737.3,1.1,82.6,0.6,0.0
F001971,"Butter, plain, no added salt",733.5,1.1,82.2,0.6,0.0
F004205,"Ghee, clarified butter",884.6,0.3,99.9,0.0,0.0
F003466,"Dairy blend, butter & edible oil spread (~80% fat), sodium 600 mg/100 g",696.7,0.5,78.1,1.0,0.0
F003464,"Dairy blend, butter & edible oil spread (~80% fat), reduced salt (sodium 400 mg/100 g)",696.7,0.5,78.1,1.0,0.0
F005309,"Margarine spread, monounsaturated (>65% fat)",597.5,0.5,67.3,0.0,0.0
F005310,"Margarine spread, monounsaturated (>65% fat), reduced salt (sodium 360 mg/100 g)",613.0,1.0,68.9,0.0,0.0
F005345,"Margarine spread, monounsaturated, reduced fat (<65%)",428.5,1.0,48.0,0.0,0.0
F005352,"Margarine spread, monounsaturated, reduced fat (~55%) & salt (sodium 380 mg/100 g)",459.4,1.0,51.5,0.0,0.0
F005319,"Margarine spread, monounsaturated (~70% fat), reduced salt (sodium 350 mg/100 g), added phytosterols",674.0,0.7,75.9,0.0,0.0
F005370,"Margarine spread, polyunsaturated (~70% fat)",609.9,0.0,69.0,0.0,0.0
F005373,"Margarine spread, polyunsaturated (~70% fat), reduced salt (sodium 280 mg/100 g)",630.0,1.0,70.8,0.0,0.0
F006154,"Oil, almond",884.3,0.0,100.0,0.0,0.0
F010968,"Oil, avocado",884.3,0.0,100.0,0.0,0.0
F006159,"Oil, canola",884.3,0.0,100.0,0.0,0.0
F006163,"Oil, coconut",881.7,0.0,99.7,0.0,0.0
F006165,"Oil, copha",884.3,0.2,99.9,0.0,0.0
F006166,"Oil, cottonseed",884.3,0.0,100.0,0.0,0.0
F006167,"Oil, grapeseed",884.3,0.0,100.0,0.0,0.0
F009855,"Oil, hemp",883.4,0.0,99.9,0.0,0.0
F006168,"Oil, linseed or flaxseed",884.1,0.0,100.0,0.0,0.0
F006169,"Oil, macadamia",884.3,0.0,100.0,0.0,0.0
F006170,"Oil, maize",884.3,0.0,100.0,0.0,0.0
F006172,"Oil, mustard seed",884.3,0.0,100.0,0.0,0.0
F006177,"Oil, olive",883.1,0.0,99.9,0.0,0.0
F006181,"Oil, palm",884.3,0.0,100.0,0.0,0.0
F006183,"Oil, peanut",884.3,0.0,100.0,0.0,0.0
F006185,"Oil, rice bran",884.3,0.0,100.0,0.0,0.0
F006186,"Oil, safflower",884.3,0.0,100.0,0.0,0.0
F006187,"Oil, sesame",884.3,0.0,100.0,0.0,0.0
F006188,"Oil, soybean",884.3,0.0,100.0,0.0,0.0
F006189,"Oil, sunflower",884.3,0.0,100.0,0.0,0.0
F006156,"Oil, blend of polyunsaturated vegetable oils",884.3,0.0,100.0,0.0,0.0
F006155,"Oil, blend of monounsaturated vegetable oils",884.3,0.0,100.0,0.0,0.0
F006191,"Oil, vegetable",884.3,0.0,100.0,0.0,0.0
F003627,"Dripping, beef",885.0,0.2,100.0,0.0,0.0
F003817,"Fat, solid, vegetable oil based",884.8,0.2,100.0,0.0,0.0
F003729,"Egg, chicken, whole, raw",127.4,12.6,8.5,0.3,0.0
F003725,"Egg, chicken, whole, poached",132.6,13.1,8.8,0.3,0.0
F003721,"Egg, chicken, whole, hard-boiled",136.0,12.4,9.4,0.7,0.0
F003718,"Egg, chicken, whole, fried, no fat added",144.8,14.3,9.6,0.3,0.0
F003724,"Egg, chicken, whole, omega-3 polyunsaturate enriched, raw",133.1,12.4,9.2,0.3,0.0
F003723,"Egg, chicken, whole, omega-3 polyunsaturate enriched, boiled",135.8,12.7,9.4,0.3,0.0
F003737,"Egg, chicken, yolk, raw",313.3,15.6,28.2,0.2,0.0
F003736,"Egg, chicken, yolk, hard-boiled",346.6,16.1,31.7,0.2,0.0
F003706,"Egg, chicken, white (albumen), raw",46.8,11.2,0.0,0.4,0.0
F003705,"Egg, chicken, white (albumen), hard-boiled",48.8,11.6,0.0,0.4,0.0
F003732,"Egg, chicken, whole, scrambled, with regular fat cow's milk, no fat added",120.5,10.8,7.7,2.1,0.0
F000086,"Apple, bonza, unpeeled, raw",58.3,0.3,0.3,12.0,3.2
F000091,"Apple, fuji, unpeeled, raw",58.6,0.3,0.3,12.5,2.4
F000092,"Apple, golden delicious, unpeeled, raw",51.9,0.3,0.0,11.8,2.4
F000098,"Apple, green skin, unpeeled, raw",50.7,0.3,0.0,11.4,2.5
F000095,"Apple, granny-smith, unpeeled, raw",49.7,0.3,0.0,11.0,2.5
F000099,"Apple, jonathan, unpeeled, raw",54.0,0.3,0.0,12.3,2.3
F000105,"Apple, pink lady, unpeeled, raw",57.8,0.2,0.0,12.8,3.0
F000107,"Apple, red delicious, unpeeled, raw",59.3,0.3,0.0,13.8,2.3
F000111,"Apple, royal gala, unpeeled, raw",53.1,0.4,0.0,12.1,2.1
F000108,"Apple, red skin, peeled, raw",57.8,0.2,0.0,13.6,1.8
F000110,"Apple, red skin, unpeeled, raw",57.8,0.2,0.0,13.1,2.5
F000089,"Apple, dried",257.6,1.2,0.0,60.4,8.5
F000134,"Apricot, raw",39.7,0.2,0.4,7.3,1.8
F000130,"Apricot, dried",232.3,4.2,0.4,48.4,8.3
F000122,"Apricot, canned in pear juice",45.9,0.8,0.0,9.6,1.8
F000123,"Apricot, canned in pear juice, drained",46.8,1.0,0.0,8.9,3.1
F000124,"Apricot, canned in pear juice, juice only",44.7,0.5,0.0,10.5,0.0
F000262,"Banana, cavendish, peeled, raw",95.4,1.4,0.2,19.9,2.2
F000267,"Banana, lady finger or sugar, peeled, raw",116.9,1.0,0.0,26.9,3.0
F009884,"Banana, frozen",98.0,1.4,0.2,20.5,2.3
F000257,Banana chip,518.9,2.3,33.6,50.7,7.7
F009880,"Currant, fresh",45.7,1.4,0.3,7.6,4.3
F001267,"Blackberry, raw",45.9,1.2,0.3,7.4,4.5
F001266,"Blackberry, purchased frozen",45.9,1.2,0.3,7.4,4.5
F001290,"Blueberry, raw",48.5,0.5,0.0,10.4,3.0
F001289,"Blueberry, purchased frozen",49.7,0.5,0.0,10.7,3.0
F002522,"Cherry, raw",73.6,1.1,0.0,16.9,1.4
F002513,"Cherry, black, canned in syrup",71.5,0.7,0.0,17.0,0.9
F002514,"Cherry, black, canned in syrup, drained",74.1,0.9,0.1,17.0,1.7
F002517,"Cherry, black, canned in syrup, syrup only",68.8,0.5,0.0,17.1,0.0
F009883,"Cherry, pitted, frozen",75.5,1.1,0.0,17.4,1.4
F003249,"Cranberry, raw",31.3,0.5,0.1,4.3,3.6
F003248,"Cranberry, dried, sweetened",317.9,0.2,1.1,77.5,5.3
F003331,"Currant, dried",291.1,2.7,0.5,69.0,4.8
F003328,"Cumquat (kumquat), raw",63.6,1.9,0.9,9.4,6.5
F003423,"Custard apple, African pride, peeled, raw",80.1,1.4,0.5,16.3,3.2
F003496,"Date, dried",289.7,2.0,0.2,67.2,9.7
F003818,"Feijoa, raw",42.1,0.6,0.4,8.0,3.0
F003834,"Fig, fresh, unpeeled, raw",46.6,1.4,0.3,8.1,3.3
